CA,Prov,Pob
Andalucía,Almería,765128	
Andalucía,Cádiz,258881	
Andalucía,Córdoba,770952	
Andalucía,Granada,940974
Andalucía,Huelva,535836	
Andalucía,Jaén,618031	
Andalucía,Málaga,1778275
Andalucía,Sevilla,1969075
Aragón,Huesca,229346
Aragón,Teruel,135513	
Aragón,Zaragoza,983347	
Asturias,Asturias,1010058	
Illes Balears,Illes Balears,1238812	
Canarias,Las Palmas,1164130
Canarias,Santa Cruz de Tenerife,1082002	
Cantabria,Cantabria,591546	
Castilla y León,Ávila,159803	
Castilla y León,Burgos,359955	
Castilla y León,León,446326	
Castilla y León,Palencia,158003	
Castilla y León,Salamanca,327120	
Castilla y León,Segovia,157299	
Castilla y León,Soria,90131	
Castilla y León,Valladolid,525897	
Castilla y León,Zamora,1665787	
Castilla-La Mancha,Albacete,389426	
Castilla-La Mancha,Ciudad Real,492802	
Castilla-La Mancha,Cuenca,198648	
Castilla-La Mancha,Guadalajara,282734	
Castilla-La Mancha,Toledo,743810	
Catalunya,Barcelona,5924293
Catalunya,Girona,824883	
Catalunya,Lleida,452296	
Catalunya,Tarragona,866708	
Comunitat Valenciana,Alacant,2008809
Comunitat Valenciana,Castelló,620186	
Comunitat Valenciana,València,2730314	
Extremadura,Badajoz,665069	
Extremadura,Cáceres,386832	
Galicia,A Coruña,1130238
Galicia,Lugo,324520
Galicia,Ourense,304238
Galicia,Pontevedra,94795
Madrid,Madrid,7058041
Murcia,Murcia,1575171
Navarra,Navarra,680296	
País Vasco,Araba,340420
País Vasco,Bizkaia,1162054
País Vasco,Gipuzkoa,730835
La Rioja,La Rioja,325264
Ceuta,Ceuta,83386	
Melilla,Melilla,86418